cohort	ldref	pop	prefix	pheno	r2	r2_2.5	r2_97.5
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin16_phi1e+00	basophil	0.00173758595309514	-0.000333090698286095	0.00701359625383312
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin16_phi1e-02	basophil	0.0037077215096577	0.000303946666084831	0.00991566940917189
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin16_phi1e-04	basophil	0.00685327789842116	0.00148384706739971	0.0146541525092407
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin16_phi1e-06	basophil	0.00688886027430091	0.00165060704854257	0.0152398298704675
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin16_phiauto	basophil	0.00542276679698339	0.00102895440811067	0.0123612047767765
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin24_phi1e+00	basophil	0.00166714909025822	-0.000335688836776285	0.00695516198879823
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin24_phi1e-02	basophil	0.00407499324883664	0.000394593363754023	0.0115165890114448
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin24_phi1e-04	basophil	0.00792316552822803	0.00268132157633434	0.0165181350441275
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin24_phi1e-06	basophil	0.00652762865254386	0.00165550584102343	0.0145011770596678
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin24_phiauto	basophil	0.00763066296922843	0.00210418907251584	0.0162662452563375
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin32_phi1e+00	basophil	0.00165727914665836	-0.000324605717831508	0.00648932341111506
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin32_phi1e-02	basophil	0.00405717965066965	0.000525239270365721	0.0105112233283295
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin32_phi1e-04	basophil	0.0085047774805086	0.00253530037371207	0.0175506747469235
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin32_phi1e-06	basophil	0.0109306297961064	0.00445577508416668	0.0208578346338542
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin32_phiauto	basophil	0.0072555586537999	0.0021043361169645	0.0151893347073001
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin40_phi1e+00	basophil	0.00246434977109677	-0.000135953978591386	0.00776774822049165
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin40_phi1e-02	basophil	0.0054998574093269	0.00101943911688849	0.0131898633763304
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin40_phi1e-04	basophil	0.0101771965878187	0.00350047985107584	0.0195485011563079
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin40_phi1e-06	basophil	0.0119933184784073	0.00538373338501547	0.0214221483875658
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin40_phiauto	basophil	0.0126360505395798	0.00559919492805666	0.0228247153443359
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin48_phi1e+00	basophil	0.00223523535533421	-0.000228589309261304	0.00766925489283068
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin48_phi1e-02	basophil	0.00451688808689865	0.000658743658418853	0.0111886535852841
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin48_phi1e-04	basophil	0.00740586452898462	0.00205708243716295	0.0157321190365202
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin48_phi1e-06	basophil	0.0112686532677899	0.00438353956490882	0.0208028259618569
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin48_phiauto	basophil	0.00830946635721441	0.00249201994974716	0.0174147433590333
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin56_phi1e+00	basophil	0.00164069163645642	-0.000296462896671601	0.00675570408384902
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin56_phi1e-02	basophil	0.00451806575840108	0.000419172883134045	0.0110797372287137
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin56_phi1e-04	basophil	0.0120787425728673	0.0048322671795887	0.0222965057580602
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin56_phi1e-06	basophil	0.0140753734887363	0.00668799810070374	0.0245048686531852
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin56_phiauto	basophil	0.00986053867707448	0.00364516211345692	0.0186397865600858
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin64_phi1e+00	basophil	0.00175988785246173	-0.000280865733688152	0.00680251800540402
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin64_phi1e-02	basophil	0.00414662987344117	0.000439129383787892	0.0105309862432154
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin64_phi1e-04	basophil	0.0107304765023	0.00414907491276129	0.0201107843055145
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin64_phi1e-06	basophil	0.0155717055564985	0.00758442272795716	0.0266588685315148
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin64_phiauto	basophil	0.0120392681653956	0.00485119995389429	0.0220288647574788
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin8_phi1e+00	basophil	0.00285961317132644	-6.54287726307157e-06	0.00937450711004591
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin8_phi1e-02	basophil	0.00361977784669221	0.000113789618154403	0.00994696193789086
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin8_phi1e-04	basophil	0.00526379585401271	0.00104098395421585	0.012440421005675
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin8_phi1e-06	basophil	0.0079589726217173	0.00260321177463703	0.0168426046319808
ukb	1KG	EAS	ukbEAS_ukb_basophil_baseBin8_phiauto	basophil	0.00742150238213513	0.00198886351857649	0.0151796289377312
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin16_phi1e+00	bmi	0.0314696719939932	0.0199828417250515	0.0454122523156271
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin16_phi1e-02	bmi	0.0383337869560605	0.0253713360994259	0.0534178016977643
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin16_phi1e-04	bmi	0.0433117709227869	0.0294212688866822	0.0584967577024383
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin16_phi1e-06	bmi	0.0434463367173263	0.0296464016242788	0.0587225308043457
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin16_phiauto	bmi	0.045344491053878	0.0313409538028546	0.062226525487152
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin24_phi1e+00	bmi	0.0399469946029097	0.0265678155389743	0.0553311456069022
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin24_phi1e-02	bmi	0.051619246535884	0.0370918016256426	0.0687835551737685
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin24_phi1e-04	bmi	0.0639220913277581	0.0470701573129122	0.0820041813750729
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin24_phi1e-06	bmi	0.0436132529327463	0.030136513933577	0.0589206424466224
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin24_phiauto	bmi	0.0598367777618453	0.0436833564610982	0.0771174748156346
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin32_phi1e+00	bmi	0.0435219070636039	0.0288252185225949	0.0597928152614649
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin32_phi1e-02	bmi	0.056179900485509	0.0418308645442343	0.0739778971785862
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin32_phi1e-04	bmi	0.0596053126153144	0.0429877312365828	0.0773783254437991
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin32_phi1e-06	bmi	0.0350901121119644	0.0222946243345792	0.0500679574780218
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin32_phiauto	bmi	0.0628964573003441	0.0461935539648555	0.0804634762929738
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin40_phi1e+00	bmi	0.0411650417495951	0.0280143774545238	0.0562665388362443
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin40_phi1e-02	bmi	0.0613518359419177	0.0452977501986438	0.0796250676013768
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin40_phi1e-04	bmi	0.0683972074009557	0.051940800193757	0.0856068514138924
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin40_phi1e-06	bmi	0.0428440169011121	0.0292130596364718	0.0591310137966517
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin40_phiauto	bmi	0.0644241003427826	0.0468386358478342	0.0840485187672123
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin48_phi1e+00	bmi	0.0531313168673169	0.0374580380876861	0.0706287421809035
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin48_phi1e-02	bmi	0.0692614409808964	0.0516215537392085	0.0890697854031082
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin48_phi1e-04	bmi	0.0699807976801984	0.0511567232659103	0.0909110500653425
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin48_phi1e-06	bmi	0.0372623396114663	0.0249152308221918	0.0542956416191898
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin48_phiauto	bmi	0.0750193493439889	0.0568965911692231	0.0950661029921959
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin56_phi1e+00	bmi	0.06174622299682	0.0456438173310565	0.0796442761903397
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin56_phi1e-02	bmi	0.0806698657502695	0.061080422288018	0.101822234413441
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin56_phi1e-04	bmi	0.0810808553907155	0.0627683020923217	0.101344675690462
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin56_phi1e-06	bmi	0.0398646733180513	0.026037404252318	0.0558544423605319
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin56_phiauto	bmi	0.0851827418449441	0.0664705979126715	0.105171478784925
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin64_phi1e+00	bmi	0.0622742890672081	0.0445853763537118	0.0811710742049619
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin64_phi1e-02	bmi	0.0813411006159564	0.0627447861986499	0.102555489947582
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin64_phi1e-04	bmi	0.0827445049960746	0.0636179235636571	0.102674439589073
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin64_phi1e-06	bmi	0.051675553163069	0.0363338311128288	0.0692731450815148
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin64_phiauto	bmi	0.0864067774065814	0.0682011033126139	0.106531864090903
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin8_phi1e+00	bmi	0.0148978674589884	0.00707560049541235	0.0256723042962195
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin8_phi1e-02	bmi	0.0180879899256617	0.00899936045122771	0.0291473286112388
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin8_phi1e-04	bmi	0.0245784357809116	0.0141719347374134	0.03714971569413
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin8_phi1e-06	bmi	0.0175333528857085	0.00906488738222687	0.0282822856281431
ukb	1KG	EAS	ukbEAS_ukb_bmi_baseBin8_phiauto	bmi	0.0216105577706585	0.0122819715454688	0.033605388670991
ukb	1KG	EAS	ukbEAS_ukb_dbp_baseBin16_phi1e+00	dbp	0.00499905250781085	0.000765493496161651	0.0119831050286801
ukb	1KG	EAS	ukbEAS_ukb_dbp_baseBin16_phi1e-02	dbp	0.0120981321690883	0.00547996138570636	0.0218062682491835
