cohort	ldref	pop	prefix	pheno	r2	r2_2.5	r2_97.5
UKBB_BBJ_V2	1kgeas	EUR	ukbEUR_height_baseBin10addBin10_V2.S1	height	0.0408969282408281	0.0338210793619725	0.0485775729882301
UKBB_BBJ_V2	1kgeas	EUR	ukbEUR_height_baseBin10addBin11_V2.S1	height	0.0421368985549991	0.0348812220111104	0.0502219683873764
UKBB_BBJ_V2	1kgeas	EUR	ukbEUR_height_baseBin10addBin12_V2.S1	height	0.0413417503551264	0.0341036277813393	0.0495625796509668
UKBB_BBJ_V2	1kgeas	EUR	ukbEUR_height_baseBin10addBin13_V2.S1	height	0.0404514838038966	0.0333149724179948	0.0487013959400076
UKBB_BBJ_V2	1kgeas	EUR	ukbEUR_height_baseBin10addBin14_V2.S1	height	0.040974801071505	0.0335205136858893	0.0482906323525445
UKBB_BBJ_V2	1kgeas	EUR	ukbEUR_height_baseBin10addBin15_V2.S1	height	0.0407796537748705	0.033685793186425	0.0481497867437648
UKBB_BBJ_V2	1kgeas	EUR	ukbEUR_height_baseBin10addBin16_V2.S1	height	0.0419888449500482	0.0344639966607614	0.0497641121664391
UKBB_BBJ_V2	1kgeas	EUR	ukbEUR_height_baseBin10addBin17_V2.S1	height	0.0410875951901089	0.0336438693450974	0.0488909934638405
UKBB_BBJ_V2	1kgeas	EUR	ukbEUR_height_baseBin10addBin18_V2.S1	height	0.0434013428309293	0.0358535331743064	0.051570526810696
UKBB_BBJ_V2	1kgeas	EUR	ukbEUR_height_baseBin10addBin19_V2.S1	height	0.0437152336818826	0.0354675971801116	0.0521647040247907
UKBB_BBJ_V2	1kgeas	EUR	ukbEUR_height_baseBin10addBin1_V2.S1	height	0.0310051583795963	0.0244328692578843	0.0375957944543316
UKBB_BBJ_V2	1kgeas	EUR	ukbEUR_height_baseBin10addBin20_V2.S1	height	0.0434522917128889	0.0355859328389314	0.0517365343595872
UKBB_BBJ_V2	1kgeas	EUR	ukbEUR_height_baseBin10addBin21_V2.S1	height	0.0453460353952627	0.0380304528792036	0.0533680646537796
