cohort	ldref	pop	prefix	pheno	r2	r2_2.5	r2_97.5
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin10_V2.S1	height	0.0432003338848882	0.0329459264931873	0.0544523899089886
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin11_V2.S1	height	0.0424797347361278	0.0324478841583546	0.0544232129780713
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin12_V2.S1	height	0.041969527337668	0.0315422176586468	0.0532320891736608
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin13_V2.S1	height	0.0422002933878446	0.0314436981271137	0.0541521899064882
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin14_V2.S1	height	0.0447542025371586	0.0338875098804573	0.0573403787421114
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin15_V2.S1	height	0.0392967808322132	0.0295426200206747	0.0507641356450897
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin16_V2.S1	height	0.034005250814022	0.0244948785992421	0.0438940947814343
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin17_V2.S1	height	0.0349133488407398	0.0257550647815555	0.0449887702222
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin18_V2.S1	height	0.0343597058372683	0.0255124066346147	0.0450333170035613
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin19_V2.S1	height	0.0342065646688903	0.0251268968188213	0.0445566925768278
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin1_V2.S1	height	0.0294176915787765	0.0207558013349227	0.0396725972717074
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin20_V2.S1	height	0.0351613536831109	0.0255611806643536	0.045536698511608
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin21_V2.S1	height	0.0357355249527718	0.0265498901529577	0.0459921698987087
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin22_V2.S1	height	0.0367543221885135	0.0276411120881315	0.0468180807202507
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin23_V2.S1	height	0.0381959498651946	0.0286823244591061	0.0496092261608318
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin24_V2.S1	height	0.034869920628393	0.0259120420039286	0.0452894151929159
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin25_V2.S1	height	0.0372720668219825	0.0275035516204458	0.048158854111057
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin26_V2.S1	height	0.0374655394707245	0.0278684593077815	0.0487748216270025
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin27_V2.S1	height	0.0409369903949535	0.0317195569708661	0.0513019724863032
