cohort	ldref	pop	prefix	pheno	r2	r2_2.5	r2_97.5
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin10_V2.S1	height	0.0412373454680108	0.0338915780154969	0.0494382110069818
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin11_V2.S1	height	0.0430495458700623	0.0353389525099461	0.0513520090119893
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin12_V2.S1	height	0.0414211409860038	0.0341732893235201	0.0494509884273497
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin13_V2.S1	height	0.0416196290011041	0.0347220969357347	0.0494430363248108
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin14_V2.S1	height	0.041640921012488	0.0349876259305703	0.0493458471821974
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin15_V2.S1	height	0.040979653417051	0.0342772916479146	0.0493524925565433
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin16_V2.S1	height	0.0412545853161105	0.0337264845371327	0.0490266039301421
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin17_V2.S1	height	0.0424522573147569	0.0351352433435171	0.0500027302000141
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin18_V2.S1	height	0.0446581271398673	0.0367849108679665	0.0530000345825638
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin19_V2.S1	height	0.0443058095520855	0.0361429923129146	0.0520934168165503
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin1_V2.S1	height	0.0342357760545371	0.0273105002067387	0.0413908204152041
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin20_V2.S1	height	0.0436005136178127	0.0359967398510452	0.051154406874023
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin21_V2.S1	height	0.0455299509248774	0.0378534827825314	0.0538503972133841
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin22_V2.S1	height	0.0460547250177892	0.0387204944663759	0.0539697901219362
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin23_V2.S1	height	0.04655970714139	0.0388212252933374	0.0547726179716964
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin24_V2.S1	height	0.0469699958049589	0.0386219860261866	0.0546909707252348
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin25_V2.S1	height	0.0476611089517725	0.039909980538855	0.0558491395791407
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin26_V2.S1	height	0.0471168471587516	0.0386704230153653	0.0552748979892166
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin27_V2.S1	height	0.0491059424682531	0.04096983550973	0.0581363903189521
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin28_V2.S1	height	0.0483257763359591	0.0405527712570025	0.0560252205266054
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin29_V2.S1	height	0.0486387032305674	0.0409283721310689	0.0572988417527645
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin2_V2.S1	height	0.0344165294676292	0.0278361597473995	0.041700888163101
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin30_V2.S1	height	0.0482678584555576	0.040085871683693	0.0566653799118411
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin3_V2.S1	height	0.035251730527878	0.0284870332068404	0.0427385745575545
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin4_V2.S1	height	0.0358517482434921	0.0288039412539669	0.0428714763906754
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin5_V2.S1	height	0.0376111068135629	0.0307886664753954	0.0454465765253884
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin6_V2.S1	height	0.0392335466271389	0.0317957592624769	0.0477473725098951
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin7_V2.S1	height	0.0410463478998226	0.0332708311867235	0.0487805515448947
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin8_V2.S1	height	0.0415412906983691	0.0341525116224558	0.0501201892095808
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin9_V2.S1	height	0.0427102989504139	0.035228374267222	0.050613758795902
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin20addBin10_V2.S1	height	0.0587348582375683	0.0498656931325476	0.0679766286467683
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin20addBin11_V2.S1	height	0.0605309704101508	0.0524787804444235	0.0700358750606461
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin20addBin12_V2.S1	height	0.0579864401445444	0.0495820822160417	0.0667142282621967
