cohort	ldref	pop	prefix	pheno	r2	r2_2.5	r2_97.5
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin10.S1	basophil	-3.98785913262589e-05	-0.000198992087131955	0.00149622748567033
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin10.S10	basophil	0.000671537842977577	-0.000176066324171623	0.00299323005629719
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin10.S2	basophil	-0.000182293937204148	-0.000199152891450063	0.000852714860996914
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin10.S3	basophil	4.78133917620749e-05	-0.00019900787907593	0.00152077889820054
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin10.S4	basophil	0.000659306717101127	-0.000191306603481278	0.00306334505251666
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin10.S5	basophil	0.0013588415007707	-2.33449470352032e-05	0.00451871033489303
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin10.S6	basophil	0.000329198701998656	-0.000198284416460148	0.00248910458602705
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin10.S7	basophil	0.000457150087952329	-0.000196019747115253	0.00278286111146058
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin1.S1	basophil	0.00408476347918252	0.00112724751972574	0.00845973706138965
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin1.S10	basophil	0.000897675754062743	-0.00015199482222569	0.00354835823356988
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin1.S2	basophil	0.00476701441619754	0.00163655416575326	0.00956872806395866
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin1.S3	basophil	0.0049649656843227	0.0017933129975494	0.00998143946403008
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin1.S4	basophil	0.00125436689413061	-8.4238522146246e-05	0.00429782591766978
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin1.S5	basophil	0.00208991120481095	0.000254779337341132	0.00526445636735994
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin1.S6	basophil	0.00205265412023103	0.000204521066137497	0.00601884050784449
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin1.S7	basophil	0.00136584355650538	-6.5513384808949e-05	0.00428888660464116
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin2.S1	basophil	0.00281330482179132	0.000567076364462762	0.00651358128093253
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin2.S10	basophil	0.000272261236494376	-0.00019804252714839	0.00214651458849294
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin2.S2	basophil	0.00435268258633315	0.0014827960240995	0.00893956248428009
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin2.S3	basophil	0.0021099593787951	0.000244113010927619	0.00529996242921224
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin2.S4	basophil	0.00196449016323375	0.000269560718188142	0.0048355882118692
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin2.S5	basophil	0.00095153319925867	-0.000175413315785106	0.00379700649273568
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin2.S6	basophil	0.000644789788235345	-0.000185153207473518	0.00302620288537861
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin2.S7	basophil	0.000365513459684275	-0.000196417182972017	0.00268846800401519
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin3.S1	basophil	0.00289621761008085	0.000609493107269102	0.00662658852102208
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin3.S10	basophil	0.000282135682367901	-0.00019837582516658	0.00235872261505722
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin3.S2	basophil	0.00194020220807134	0.000200812700813008	0.00530685934708764
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin3.S3	basophil	0.00142865918704327	-2.7444426191292e-05	0.0042042335893332
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin3.S4	basophil	0.000171817191139789	-0.000197938770335054	0.00194925772558253
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin3.S5	basophil	0.00169425706913395	3.66899465534262e-07	0.00522484770026241
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin3.S6	basophil	0.0009073947011774	-0.00013829233300468	0.00343356789848892
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin3.S7	basophil	0.000863884570047158	-0.000155687792717144	0.00350099413564418
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin4.S1	basophil	0.00219039500344365	0.000377094425719851	0.00554989337542519
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin4.S10	basophil	0.000528386810127124	-0.000191839306812902	0.00281312636745281
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin4.S2	basophil	0.00182640140728008	8.4505087252787e-05	0.00476439182967832
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin4.S3	basophil	0.00142955728580785	-7.54979925590704e-06	0.00419378885270363
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin4.S4	basophil	0.00111956807330937	-0.000118394932994334	0.0038697377399673
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin4.S5	basophil	0.00277083987110494	0.00056831666768431	0.00657622539959791
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin4.S6	basophil	0.000351085658591876	-0.000198332531160325	0.00251945909734071
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin4.S7	basophil	0.000560697394370258	-0.000191173449717044	0.00278163487993362
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin5.S1	basophil	0.00194859060463115	0.000166244837585286	0.00509484529658209
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin5.S10	basophil	0.000431751227670696	-0.00019523883108418	0.00281491147899219
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin5.S2	basophil	0.00100672546790648	-0.000120771221207155	0.00342362326286607
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin5.S3	basophil	0.000551667697971991	-0.000189538488867824	0.00302689281799278
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin5.S4	basophil	0.000524309258985278	-0.000194616135283007	0.00278985078603708
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin5.S5	basophil	0.00155254387305459	-7.15401034106e-05	0.0047099600782144
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin5.S6	basophil	0.000455993420373724	-0.000197021458642091	0.00266422135968467
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin5.S7	basophil	0.000338516059347982	-0.000194475390413898	0.00241159478368544
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin6.S1	basophil	0.00144924794079926	-3.24598994283193e-05	0.00462509122289023
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin6.S10	basophil	0.000512097468887918	-0.000188516272474992	0.00264623619015988
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin6.S2	basophil	0.000557611132406821	-0.000190355270615636	0.00275393580115035
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin6.S3	basophil	8.3196829124832e-05	-0.000198887206203982	0.00163721252973041
UKBB_BBJ	1kgeur	EUR	basophil_baseBin10addBin6.S4	basophil	0.000709726979837955	-0.000179764985745401	0.00295387613031186
