pheno	bins1	bins2	base	Ns
height	71	30	10	10
height	71	30	15	15
height	71	30	20	20
height	71	30	25	25
height	71	30	30	30
height	71	30	35	30
height	71	30	40	30
height	71	30	45	30
height	71	30	50	30
height	71	30	55	30
height	71	30	60	30
height	71	30	65	30
height	71	30	70	30
bmi	70	29	10	10
bmi	70	29	15	15
bmi	70	29	20	20
bmi	70	29	25	25
bmi	70	29	30	29
bmi	70	29	35	29
bmi	70	29	40	29
bmi	70	29	45	29
bmi	70	29	50	29
bmi	70	29	55	29
bmi	70	29	60	29
bmi	70	29	65	29
bmi	70	29	70	29
sbp	66	26	10	10
sbp	66	26	15	15
sbp	66	26	20	20
sbp	66	26	25	25
sbp	66	26	30	26
sbp	66	26	35	26
sbp	66	26	40	26
sbp	66	26	45	26
sbp	66	26	50	26
sbp	66	26	55	26
sbp	66	26	60	26
sbp	66	26	65	26
sbp	66	26	70	0
dbp	66	26	10	10
dbp	66	26	15	15
dbp	66	26	20	20
dbp	66	26	25	25
dbp	66	26	30	26
dbp	66	26	35	26
dbp	66	26	40	26
dbp	66	26	45	26
dbp	66	26	50	26
dbp	66	26	55	26
dbp	66	26	60	26
dbp	66	26	65	26
dbp	66	26	70	0
wbc	69	28	10	10
wbc	69	28	15	15
wbc	69	28	20	20
wbc	69	28	25	25
wbc	69	28	30	28
wbc	69	28	35	28
wbc	69	28	40	28
wbc	69	28	45	28
wbc	69	28	50	28
wbc	69	28	55	28
wbc	69	28	60	28
wbc	69	28	65	28
wbc	69	28	70	0
monocyte	68	16	10	10
monocyte	68	16	15	15
monocyte	68	16	20	16
monocyte	68	16	25	16
monocyte	68	16	30	16
monocyte	68	16	35	16
monocyte	68	16	40	16
monocyte	68	16	45	16
monocyte	68	16	50	16
monocyte	68	16	55	16
monocyte	68	16	60	16
monocyte	68	16	65	16
monocyte	68	16	70	0
neutrophil	68	14	10	10
neutrophil	68	14	15	14
neutrophil	68	14	20	14
neutrophil	68	14	25	14
neutrophil	68	14	30	14
neutrophil	68	14	35	14
neutrophil	68	14	40	14
neutrophil	68	14	45	14
neutrophil	68	14	50	14
neutrophil	68	14	55	14
neutrophil	68	14	60	14
neutrophil	68	14	65	14
neutrophil	68	14	70	0
eosinophil	68	16	10	10
eosinophil	68	16	15	15
eosinophil	68	16	20	16
eosinophil	68	16	25	16
eosinophil	68	16	30	16
eosinophil	68	16	35	16
eosinophil	68	16	40	16
eosinophil	68	16	45	16
eosinophil	68	16	50	16
eosinophil	68	16	55	16
eosinophil	68	16	60	16
eosinophil	68	16	65	16
eosinophil	68	16	70	0
basophil	68	16	10	10
basophil	68	16	15	15
basophil	68	16	20	16
basophil	68	16	25	16
basophil	68	16	30	16
basophil	68	16	35	16
basophil	68	16	40	16
basophil	68	16	45	16
basophil	68	16	50	16
basophil	68	16	55	16
basophil	68	16	60	16
basophil	68	16	65	16
basophil	68	16	70	0
lymphocyte	68	17	10	10
lymphocyte	68	17	15	15
lymphocyte	68	17	20	17
lymphocyte	68	17	25	17
lymphocyte	68	17	30	17
lymphocyte	68	17	35	17
lymphocyte	68	17	40	17
lymphocyte	68	17	45	17
lymphocyte	68	17	50	17
lymphocyte	68	17	55	17
lymphocyte	68	17	60	17
lymphocyte	68	17	65	17
lymphocyte	68	17	70	0
rbc	69	27	10	10
rbc	69	27	15	15
rbc	69	27	20	20
rbc	69	27	25	25
rbc	69	27	30	27
rbc	69	27	35	27
rbc	69	27	40	27
rbc	69	27	45	27
rbc	69	27	50	27
rbc	69	27	55	27
rbc	69	27	60	27
rbc	69	27	65	27
rbc	69	27	70	0
mch	69	23	10	10
mch	69	23	15	15
mch	69	23	20	20
mch	69	23	25	23
mch	69	23	30	23
mch	69	23	35	23
mch	69	23	40	23
mch	69	23	45	23
mch	69	23	50	23
mch	69	23	55	23
mch	69	23	60	23
mch	69	23	65	23
mch	69	23	70	0
mcv	69	23	10	10
mcv	69	23	15	15
mcv	69	23	20	20
mcv	69	23	25	23
mcv	69	23	30	23
mcv	69	23	35	23
mcv	69	23	40	23
mcv	69	23	45	23
mcv	69	23	50	23
mcv	69	23	55	23
mcv	69	23	60	23
mcv	69	23	65	23
mcv	69	23	70	0
mchc	69	24	10	10
mchc	69	24	15	15
mchc	69	24	20	20
mchc	69	24	25	24
mchc	69	24	30	24
mchc	69	24	35	24
mchc	69	24	40	24
mchc	69	24	45	24
mchc	69	24	50	24
mchc	69	24	55	24
mchc	69	24	60	24
mchc	69	24	65	24
mchc	69	24	70	0
hb	69	27	10	10
hb	69	27	15	15
hb	69	27	20	20
hb	69	27	25	25
hb	69	27	30	27
hb	69	27	35	27
hb	69	27	40	27
hb	69	27	45	27
hb	69	27	50	27
hb	69	27	55	27
hb	69	27	60	27
hb	69	27	65	27
hb	69	27	70	0
ht	69	27	10	10
ht	69	27	15	15
ht	69	27	20	20
ht	69	27	25	25
ht	69	27	30	27
ht	69	27	35	27
ht	69	27	40	27
ht	69	27	45	27
ht	69	27	50	27
ht	69	27	55	27
ht	69	27	60	27
ht	69	27	65	27
ht	69	27	70	0
plt	69	26	10	10
plt	69	26	15	15
plt	69	26	20	20
plt	69	26	25	25
plt	69	26	30	26
plt	69	26	35	26
plt	69	26	40	26
plt	69	26	45	26
plt	69	26	50	26
plt	69	26	55	26
plt	69	26	60	26
plt	69	26	65	26
plt	69	26	70	0
