cohort	ldref	pop	prefix	pheno	r2	r2_2.5	r2_97.5
UKBB	1kgeur	EAS	height_Bin1toBin10.S1	height	0.0256821065815874	0.0173061171161617	0.0347380946989154
UKBB	1kgeur	EAS	height_Bin1toBin10.S10	height	0.0140875499848425	0.00803631219331134	0.0216458042780318
UKBB	1kgeur	EAS	height_Bin1toBin10.S2	height	0.0292994369266146	0.0210323140273228	0.0386478037340213
UKBB	1kgeur	EAS	height_Bin1toBin10.S3	height	0.0282996734581006	0.0198848102736249	0.0378968000251189
UKBB	1kgeur	EAS	height_Bin1toBin10.S4	height	0.0344328452474082	0.0251789935823056	0.0452886020592018
UKBB	1kgeur	EAS	height_Bin1toBin10.S5	height	0.0310956900507644	0.0218573470154239	0.0406105684609066
UKBB	1kgeur	EAS	height_Bin1toBin10.S6	height	0.0193632115699734	0.0127336606812481	0.0270479929342179
UKBB	1kgeur	EAS	height_Bin1toBin10.S7	height	0.0155351807111307	0.00927432542771539	0.0233126202329046
UKBB	1kgeur	EAS	height_Bin1toBin11.S1	height	0.0254546068156696	0.017844717056537	0.0347046198078496
UKBB	1kgeur	EAS	height_Bin1toBin11.S10	height	0.0135142789137381	0.00828101776600924	0.0204117174030386
UKBB	1kgeur	EAS	height_Bin1toBin11.S2	height	0.0275528010708683	0.0192646336944692	0.0373397732971202
UKBB	1kgeur	EAS	height_Bin1toBin11.S3	height	0.0353170435421233	0.0254842407913577	0.0457792085575148
UKBB	1kgeur	EAS	height_Bin1toBin11.S4	height	0.0368809271553688	0.0270524066367102	0.0481913478234215
UKBB	1kgeur	EAS	height_Bin1toBin11.S5	height	0.0281960491275406	0.0188666421732069	0.0387349423255409
UKBB	1kgeur	EAS	height_Bin1toBin11.S6	height	0.0176683500880005	0.0109311193346964	0.0260824486176426
UKBB	1kgeur	EAS	height_Bin1toBin11.S7	height	0.0128244412884031	0.00743812756016176	0.0194788330337997
UKBB	1kgeur	EAS	height_Bin1toBin12.S1	height	0.0238538136976699	0.0157549864006033	0.0329470312136643
UKBB	1kgeur	EAS	height_Bin1toBin12.S10	height	0.0131472185334849	0.00785331589325507	0.0206540897411142
UKBB	1kgeur	EAS	height_Bin1toBin12.S2	height	0.0302320529022561	0.02107827769329	0.0406829790590648
UKBB	1kgeur	EAS	height_Bin1toBin12.S3	height	0.0372188353399934	0.0271225171456085	0.0482049291302772
UKBB	1kgeur	EAS	height_Bin1toBin12.S4	height	0.0356460935791444	0.0264977994085892	0.0471479003672153
UKBB	1kgeur	EAS	height_Bin1toBin12.S5	height	0.0248492604077635	0.0166847273182893	0.0347987292806707
UKBB	1kgeur	EAS	height_Bin1toBin12.S6	height	0.0191539666151024	0.012616898519902	0.0276398921904553
UKBB	1kgeur	EAS	height_Bin1toBin12.S7	height	0.0134943045736315	0.00780011686498162	0.0206516137425285
UKBB	1kgeur	EAS	height_Bin1toBin13.S1	height	0.0270582106675321	0.018532026269124	0.0362708038027382
UKBB	1kgeur	EAS	height_Bin1toBin13.S10	height	0.0145501074751386	0.00860477998083825	0.0221597746929791
UKBB	1kgeur	EAS	height_Bin1toBin13.S2	height	0.02745732517113	0.0193314060379338	0.0371601006181422
UKBB	1kgeur	EAS	height_Bin1toBin13.S3	height	0.0401716896534493	0.0293051069872145	0.0527654455617543
UKBB	1kgeur	EAS	height_Bin1toBin13.S4	height	0.0325195234110729	0.0234954936543047	0.0434998376035579
UKBB	1kgeur	EAS	height_Bin1toBin13.S5	height	0.0297349595633982	0.0204398266596339	0.0403531807805206
UKBB	1kgeur	EAS	height_Bin1toBin13.S6	height	0.0157500354231026	0.00999120876123112	0.0233628107666549
