cohort	ldref	pop	prefix	pheno	r2	r2_2.5	r2_97.5
BBJ	1kgeas	EAS	height_Bin1toBin10.S1	height	0.0174632025198782	0.0107267562563809	0.0258286444129697
BBJ	1kgeas	EAS	height_Bin1toBin11.S1	height	0.0222822289250154	0.0151115541655092	0.0311552474202379
BBJ	1kgeas	EAS	height_Bin1toBin12.S1	height	0.0237192310847283	0.0159452843202278	0.0324109868492074
BBJ	1kgeas	EAS	height_Bin1toBin13.S1	height	0.0219622124089549	0.0145853968852808	0.0315283543977785
BBJ	1kgeas	EAS	height_Bin1toBin14.S1	height	0.0254014740015434	0.0176380689232046	0.0342696615925991
BBJ	1kgeas	EAS	height_Bin1toBin15.S1	height	0.0201660262495931	0.0135231378924656	0.0276485303053789
BBJ	1kgeas	EAS	height_Bin1toBin16.S1	height	0.0213037016947552	0.0140547485527421	0.0283339173474429
BBJ	1kgeas	EAS	height_Bin1toBin17.S1	height	0.0223402078408209	0.015311588520952	0.03054939600815
BBJ	1kgeas	EAS	height_Bin1toBin18.S1	height	0.0271623812612306	0.0190235251140976	0.0364433723732393
BBJ	1kgeas	EAS	height_Bin1toBin19.S1	height	0.024664268995056	0.0171054855414027	0.0338967833323251
BBJ	1kgeas	EAS	height_Bin1toBin1.S1	height	0.000326363660491769	-0.000196860209949959	0.00240872364529163
BBJ	1kgeas	EAS	height_Bin1toBin20.S1	height	0.0263778149320409	0.018505769169299	0.0363091344108731
BBJ	1kgeas	EAS	height_Bin1toBin21.S1	height	0.0237137910786436	0.0163206249619846	0.0320265864504664
BBJ	1kgeas	EAS	height_Bin1toBin22.S1	height	0.026347906636794	0.0181486778025665	0.0367322682819215
BBJ	1kgeas	EAS	height_Bin1toBin23.S1	height	0.0291027481828401	0.0211009387455112	0.0384537502287944
BBJ	1kgeas	EAS	height_Bin1toBin24.S1	height	0.0312540731099139	0.0221340626036252	0.040195222510997
BBJ	1kgeas	EAS	height_Bin1toBin25.S1	height	0.0323423765006391	0.0233157747062248	0.0420137720676939
BBJ	1kgeas	EAS	height_Bin1toBin26.S1	height	0.0373130113987289	0.0282356247920162	0.0476329024605019
BBJ	1kgeas	EAS	height_Bin1toBin27.S1	height	0.0326562577120305	0.0229709413051882	0.0428214842587945
BBJ	1kgeas	EAS	height_Bin1toBin28.S1	height	0.0304587408375977	0.0215418448452816	0.0391783745292608
BBJ	1kgeas	EAS	height_Bin1toBin29.S1	height	0.0294615112647824	0.020987186083844	0.0395539732609586
BBJ	1kgeas	EAS	height_Bin1toBin2.S1	height	0.00057635910303	-0.000185311523794215	0.00305901552431662
BBJ	1kgeas	EAS	height_Bin1toBin30.S1	height	0.0320690688249362	0.0227580504769853	0.0414435433047666
BBJ	1kgeas	EAS	height_Bin1toBin3.S1	height	0.00716902295695521	0.00292657570679267	0.012980887832777
BBJ	1kgeas	EAS	height_Bin1toBin4.S1	height	0.00617289396684329	0.00241459453799558	0.0112230670990877
BBJ	1kgeas	EAS	height_Bin1toBin5.S1	height	0.0136886539888399	0.00801318782596759	0.0208477372705886
BBJ	1kgeas	EAS	height_Bin1toBin6.S1	height	0.0110633068172274	0.00600252161752336	0.0172698853637684
BBJ	1kgeas	EAS	height_Bin1toBin7.S1	height	0.018589968036359	0.0122292208835554	0.0265675566127547
BBJ	1kgeas	EAS	height_Bin1toBin8.S1	height	0.0170525574342938	0.0111761341601014	0.0253234870764022
BBJ	1kgeas	EAS	height_Bin1toBin9.S1	height	0.0184737331865608	0.011777345266021	0.0266491910044875
