cohort	ldref	pop	prefix	pheno	r2	r2_2.5	r2_97.5
UKBB	1kgeur	EAS	height_Bin1toBin10.S1	height	0.0256821065815874	0.0171662735146842	0.0351384446434172
UKBB	1kgeur	EAS	height_Bin1toBin10.S10	height	0.0140875499848425	0.00840841259282505	0.0215218924282298
UKBB	1kgeur	EAS	height_Bin1toBin10.S2	height	0.0292994369266146	0.0207615412028398	0.0387123349267651
UKBB	1kgeur	EAS	height_Bin1toBin10.S3	height	0.0282996734581006	0.0194831318380788	0.0381854802733771
UKBB	1kgeur	EAS	height_Bin1toBin10.S4	height	0.0344328452474082	0.024662776529659	0.0453176477361733
UKBB	1kgeur	EAS	height_Bin1toBin10.S5	height	0.0310956900507644	0.0225736047874423	0.0411774460242544
UKBB	1kgeur	EAS	height_Bin1toBin10.S6	height	0.0193632115699734	0.0121856051887411	0.0273796952848832
UKBB	1kgeur	EAS	height_Bin1toBin10.S7	height	0.0155351807111307	0.00889480864089525	0.0234151187451446
UKBB	1kgeur	EAS	height_Bin1toBin11.S1	height	0.0254546068156696	0.0168821844214864	0.0350682096483321
UKBB	1kgeur	EAS	height_Bin1toBin11.S10	height	0.0135142789137381	0.00786305661442139	0.0205099525877517
UKBB	1kgeur	EAS	height_Bin1toBin11.S2	height	0.0275528010708683	0.0201208509311806	0.0367322277531106
UKBB	1kgeur	EAS	height_Bin1toBin11.S3	height	0.0353170435421233	0.0261100533259518	0.0464957910075302
UKBB	1kgeur	EAS	height_Bin1toBin11.S4	height	0.0368809271553688	0.0268393008100516	0.0471897905975797
UKBB	1kgeur	EAS	height_Bin1toBin11.S5	height	0.0281960491275406	0.0194890955830149	0.0387707603631525
UKBB	1kgeur	EAS	height_Bin1toBin11.S6	height	0.0176683500880005	0.0111562096209355	0.0253617865057162
UKBB	1kgeur	EAS	height_Bin1toBin11.S7	height	0.0128244412884031	0.00732457528160891	0.0199075530464126
UKBB	1kgeur	EAS	height_Bin1toBin12.S1	height	0.0238538136976699	0.0157293365536468	0.0333243982624029
UKBB	1kgeur	EAS	height_Bin1toBin12.S10	height	0.0131472185334849	0.00793860358765893	0.019764530183499
UKBB	1kgeur	EAS	height_Bin1toBin12.S2	height	0.0302320529022561	0.0214737378675021	0.040554897302751
UKBB	1kgeur	EAS	height_Bin1toBin12.S3	height	0.0372188353399934	0.0277777626938341	0.0486070513614803
UKBB	1kgeur	EAS	height_Bin1toBin12.S4	height	0.0356460935791444	0.0265752437667761	0.0461071261299468
UKBB	1kgeur	EAS	height_Bin1toBin12.S5	height	0.0248492604077635	0.0162179463168388	0.0343422707154044
UKBB	1kgeur	EAS	height_Bin1toBin12.S6	height	0.0191539666151024	0.0122177305179469	0.0266642193956135
UKBB	1kgeur	EAS	height_Bin1toBin12.S7	height	0.0134943045736315	0.00788319758391861	0.0203199483746931
