cohort	ldref	pop	prefix	pheno	r2	r2_2.5	r2_97.5
UKBB_BBJ	1kgeur	EAS	ukbEAS_1kgeur_height_baseBin70addBin1_pst_eff_a1_b0.5_phiauto	height	0.102329962400431	0.0868314255875862	0.118423610680659
UKBB_BBJ	1kgeur	EAS	ukbEAS_1kgeur_height_baseBin70addBin10_pst_eff_a1_b0.5_phiauto	height	0.0262413649674932	0.0179651174838487	0.0352873133054358
UKBB_BBJ	1kgeur	EAS	ukbEAS_1kgeur_height_baseBin70addBin11_pst_eff_a1_b0.5_phiauto	height	0.0241421569311671	0.016231640350807	0.034191324528355
UKBB_BBJ	1kgeur	EAS	ukbEAS_1kgeur_height_baseBin70addBin12_pst_eff_a1_b0.5_phiauto	height	0.0209429744648644	0.0138756629647209	0.0294689495144093
UKBB_BBJ	1kgeur	EAS	ukbEAS_1kgeur_height_baseBin70addBin13_pst_eff_a1_b0.5_phiauto	height	0.017715129643589	0.010923956677628	0.025469128996843
UKBB_BBJ	1kgeur	EAS	ukbEAS_1kgeur_height_baseBin70addBin14_pst_eff_a1_b0.5_phiauto	height	0.0155358849113626	0.00929190918742284	0.0231351835176956
UKBB_BBJ	1kgeur	EAS	ukbEAS_1kgeur_height_baseBin70addBin15_pst_eff_a1_b0.5_phiauto	height	0.0124913176729408	0.00706945631347668	0.0191036034570073
UKBB_BBJ	1kgeur	EAS	ukbEAS_1kgeur_height_baseBin70addBin16_pst_eff_a1_b0.5_phiauto	height	0.00865689009550041	0.00408926573160626	0.0144728517192376
UKBB_BBJ	1kgeur	EAS	ukbEAS_1kgeur_height_baseBin70addBin17_pst_eff_a1_b0.5_phiauto	height	0.00930383220760433	0.00468936774464639	0.0151812234708604
UKBB_BBJ	1kgeur	EAS	ukbEAS_1kgeur_height_baseBin70addBin18_pst_eff_a1_b0.5_phiauto	height	0.00626519287728222	0.00253429956293279	0.0113140975817487
UKBB_BBJ	1kgeur	EAS	ukbEAS_1kgeur_height_baseBin70addBin19_pst_eff_a1_b0.5_phiauto	height	0.00470885313031533	0.00159436978007353	0.00916699363394495
UKBB_BBJ	1kgeur	EAS	ukbEAS_1kgeur_height_baseBin70addBin2_pst_eff_a1_b0.5_phiauto	height	0.0744196779433256	0.0609364386122319	0.089802475849223
UKBB_BBJ	1kgeur	EAS	ukbEAS_1kgeur_height_baseBin70addBin20_pst_eff_a1_b0.5_phiauto	height	0.00509715571462566	0.00171573213418324	0.00965550618640015
UKBB_BBJ	1kgeur	EAS	ukbEAS_1kgeur_height_baseBin70addBin21_pst_eff_a1_b0.5_phiauto	height	0.00308172924179173	0.00071313466845809	0.0070164742572017
UKBB_BBJ	1kgeur	EAS	ukbEAS_1kgeur_height_baseBin70addBin22_pst_eff_a1_b0.5_phiauto	height	0.00217387479924824	0.000219024017858455	0.0055312955170345
UKBB_BBJ	1kgeur	EAS	ukbEAS_1kgeur_height_baseBin70addBin23_pst_eff_a1_b0.5_phiauto	height	0.00183965098715722	0.000131247009734639	0.0050977120418233
