cohort	ldref	pop	prefix	pheno	r2	r2_2.5	r2_97.5
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin10.S1	plt	0.0141691555595623	0.00872161917160118	0.0208272666473828
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin10.S10	plt	0.00189680711686335	0.000152450294986833	0.00504675592051203
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin10.S2	plt	0.0166227374790344	0.0105205560888664	0.0237658274455435
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin10.S3	plt	0.0149360110946254	0.00894132956092977	0.0221418338188158
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin10.S4	plt	0.00917145681020903	0.00434138191259846	0.0145843962500867
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin10.S5	plt	0.00473435840624559	0.00176622384750849	0.0089796764743179
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin10.S6	plt	0.00312618485976013	0.000691095237870312	0.00710163005503564
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin10.S7	plt	0.00251243807757373	0.000429369779751151	0.00610182138447669
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin11.S1	plt	0.0177125534066382	0.011159959456163	0.0257777815080565
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin11.S10	plt	0.00139623757552343	2.9017843857071e-05	0.0044291114787976
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin11.S2	plt	0.0175729354383795	0.0107771198318719	0.0253257994836998
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin11.S3	plt	0.0178673959114329	0.0116631265317247	0.025415716503791
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin11.S4	plt	0.0121974971518934	0.00690558340416083	0.0187815303540809
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin11.S5	plt	0.00795399030290778	0.003685949028499	0.0136450696431293
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin11.S6	plt	0.0029698340127694	0.000550195646899279	0.00664798119554292
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin11.S7	plt	0.00207243117793077	0.000209444563938624	0.00526721107033294
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin12.S1	plt	0.0178148520270455	0.0113574441752987	0.0256948626867616
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin12.S10	plt	0.00151728477854496	6.41901772669068e-05	0.00448965863291052
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin12.S2	plt	0.0191292449700166	0.0122344355439844	0.0264342113497012
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin12.S3	plt	0.0174498119211028	0.0114203650691997	0.0251263505090662
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin12.S4	plt	0.013062399721797	0.00794351356834614	0.0202607494324528
BBJ	1kgeas	EUR	ukbEUR_plt_Bin1toBin12.S5	plt	0.00563351109486032	0.00224853876606389	0.0105585984403267
