cohort	ldref	pop	prefix	pheno	r2	r2_2.5	r2_97.5
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin10.S1	height	0.0111451503482592	0.00749165812711451	0.0151971826448391
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin11.S1	height	0.0118047791833519	0.00818048275253579	0.0164554650353223
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin12.S1	height	0.0136031063498977	0.0095608786295692	0.018353040567508
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin13.S1	height	0.0126685028068487	0.00884538620940894	0.0172371161829371
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin14.S1	height	0.0123799711229847	0.00849092411824283	0.0170328415063433
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin15.S1	height	0.0137963672881145	0.00966688216916416	0.0184958363912789
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin16.S1	height	0.0165870398077007	0.0119877976250872	0.0220254882903
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin17.S1	height	0.0162339850702203	0.0119558143447339	0.0213260382312042
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin18.S1	height	0.0195223620431476	0.0146390760098169	0.0247322827800814
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin19.S1	height	0.0198676866334897	0.0148152845172075	0.0257604190173996
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin1.S1	height	-9.53176625702046e-05	-9.90989008199605e-05	0.000370627341939181
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin20.S1	height	0.0208856111780394	0.0155741853745723	0.0262970055830434
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin21.S1	height	0.0206072010771652	0.0155502763490086	0.0264243130469535
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin22.S1	height	0.0190183481684814	0.0139702183026478	0.0253086845708741
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin23.S1	height	0.0204749756704924	0.0154026390139266	0.0266726199789429
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin24.S1	height	0.022420310226409	0.0172146018316485	0.0283481534234269
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin25.S1	height	0.0226016437955704	0.0172032826171375	0.0287423033469167
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin26.S1	height	0.0237623770171469	0.0182576213401958	0.0299998594958803
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin27.S1	height	0.0251389984662308	0.0195858187433134	0.0316959048669846
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin28.S1	height	0.0236478847979817	0.0179115319743558	0.0302431718723389
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin29.S1	height	0.0246296629472983	0.0190535970064324	0.0308487345831156
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin2.S1	height	8.77330696095191e-05	-9.75797078153123e-05	0.00106191338707673
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin30.S1	height	0.0224817790545624	0.0169701367853172	0.0282597406119114
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin3.S1	height	0.00449093929035282	0.00234660700862203	0.00723055670919413
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin4.S1	height	0.00459610571570357	0.00236330279496921	0.00753368311180879
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin5.S1	height	0.00875653429268752	0.00541581871615471	0.0131063894257759
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin6.S1	height	0.00685106661951151	0.0041453875200126	0.0101292183077275
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin7.S1	height	0.00731935843442622	0.00426391265164306	0.0108520110765543
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin8.S1	height	0.00916856601725724	0.00577298645945085	0.0133652284080892
BBJ	1kgeas	EUR	ukbEUR_height_Bin1toBin9.S1	height	0.00843244746618754	0.00530327948620128	0.0122712859440696
