cohort	ldref	pop	prefix	pheno	r2	r2_2.5	r2_97.5
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin10.S1	height	0.0319742478196655	0.0259595555454438	0.038613803467829
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin10.S10	height	0.049336965735813	0.0417992206986941	0.0579211156045051
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin10.S2	height	0.0354919545521123	0.0280447331063309	0.0428092781100091
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin10.S3	height	0.0479186750255898	0.0405552402522921	0.0565926455601877
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin10.S4	height	0.0585503915905862	0.050177180722828	0.0680777977805349
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin10.S5	height	0.062903224390256	0.053456289976353	0.0724543552562086
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin10.S6	height	0.0590675743744272	0.050198002202991	0.0680633520186999
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin10.S7	height	0.0540763693196494	0.045958549061539	0.0618571930659436
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin11.S1	height	0.0321602957178609	0.0256602311885185	0.0391102637799752
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin11.S10	height	0.0511380926672965	0.0432890746585432	0.0599561130719092
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin11.S2	height	0.0407346488169488	0.0335748885418179	0.048945161761535
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin11.S3	height	0.0534372546643432	0.0450779586156218	0.0611701367151464
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin11.S4	height	0.0644192929803896	0.0551635725142333	0.0741096681677241
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin11.S5	height	0.0630935538998297	0.0543335552267247	0.0716049796900837
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin11.S6	height	0.0627431798335988	0.0539585493700739	0.072081795899072
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin11.S7	height	0.057272963954151	0.0486748894914537	0.06605143713019
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin12.S1	height	0.0374852742845651	0.030312092271102	0.0444070432474471
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin12.S10	height	0.0543144130019567	0.0457231071327911	0.0636975204808143
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin12.S2	height	0.0414351488975458	0.034429651629885	0.049960462570895
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin12.S3	height	0.0589604213217955	0.0499503388677416	0.067993688605699
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin12.S4	height	0.0654355671650954	0.0560462916674384	0.0744455073921622
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin12.S5	height	0.0691362277911577	0.0597425490428164	0.0782761053810053
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin12.S6	height	0.0641077045248747	0.0554991151234627	0.0728714843180096
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin12.S7	height	0.0600835069169007	0.0515429945906694	0.0700174861914507
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin13.S1	height	0.0412307880767491	0.0343325648133943	0.0493589258895503
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin13.S10	height	0.0579082527012812	0.0499557196759031	0.0669716489966162
UKBB	1kgeur	EUR	ukbEUR_height_Bin1toBin13.S2	height	0.0444516165642573	0.0368892249793723	0.0518778878876386
