cohort	ldref	pop	prefix	pheno	r2	r2_2.5	r2_97.5
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin10_V2.S1	height	0.0332891479223835	0.0266248691997143	0.0405104982945088
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin11_V2.S1	height	0.0345839274911689	0.0280645642105731	0.0420269113127954
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin12_V2.S1	height	0.0341386817183563	0.0280634049342278	0.0411472730320449
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin13_V2.S1	height	0.0321245900515953	0.0258943856582538	0.0388691951502002
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin14_V2.S1	height	0.0353943083709299	0.0287083827983962	0.0431981015630508
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin15_V2.S1	height	0.0347498881868351	0.0278781281327798	0.0423263636884803
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin16_V2.S1	height	0.0342613003871014	0.0277293784120261	0.0417922289669716
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin17_V2.S1	height	0.0359839686130585	0.0290393223205562	0.0430082034927419
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin18_V2.S1	height	0.0351914024791603	0.0285089020319785	0.0423006950969365
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin19_V2.S1	height	0.0371067864490534	0.030138154677608	0.0448012195399054
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin1_V2.S1	height	0.0178225832264451	0.0134082309993027	0.0231102585332015
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin20_V2.S1	height	0.0372078415752374	0.0306650300182499	0.0454411044430352
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin21_V2.S1	height	0.0375014102050922	0.0306303569545638	0.0448089937511281
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin22_V2.S1	height	0.0383275739399304	0.0318114163921141	0.0462600114147242
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin23_V2.S1	height	0.0396477795222955	0.0318467002349516	0.0472981283932479
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin24_V2.S1	height	0.0402020530021724	0.032735710755454	0.0474565141124438
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin25_V2.S1	height	0.0403834616226119	0.0332033290505138	0.047660028252794
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin26_V2.S1	height	0.0405400588876931	0.0333328379111859	0.0482600009459485
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin27_V2.S1	height	0.0398985361524523	0.0326284921362922	0.0476323249214893
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin28_V2.S1	height	0.0396729584791983	0.0324338853701338	0.0479609161275744
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin29_V2.S1	height	0.040178361763939	0.0324982529107377	0.0479535450082959
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin2_V2.S1	height	0.0247011484380305	0.0191318111188825	0.0308842053232383
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin30_V2.S1	height	0.0412385467441326	0.033979001256303	0.0492663858964208
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin3_V2.S1	height	0.0276336001136611	0.0215518211446525	0.0341260352529904
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin4_V2.S1	height	0.0295459687732865	0.0233807424888782	0.0366846131907063
UKBB_BBJ_V2	1kgeur	EUR	ukbEUR_height_baseBin10addBin5_V2.S1	height	0.0289841175741724	0.0232101212326824	0.0355200766360998
