cohort	ldref	pop	prefix	pheno	r2	r2_2.5	r2_97.5
UKBB	1KG-EUR	EUR	height_Bin1toBin2.S1	height	0.00357936932771108	0.00159597103682047	0.00598820636951596
UKBB	1KG-EUR	EUR	height_Bin1toBin3.S1	height	0.00590350435840947	0.0033747346545589	0.00925744490759402
UKBB	1KG-EUR	EUR	height_Bin1toBin4.S1	height	0.00803289391573081	0.00499331453943281	0.011959761420464
UKBB	1KG-EUR	EUR	height_Bin1toBin5.S1	height	0.0125878092077061	0.00879930602848095	0.0171846596231621
UKBB	1KG-EUR	EUR	height_Bin1toBin6.S1	height	0.0166381153972446	0.0120742367403973	0.0220102544904921
UKBB	1KG-EUR	EUR	height_Bin1toBin7.S1	height	0.020648351324722	0.0153250007211902	0.0260882169719151
UKBB	1KG-EUR	EUR	height_Bin1toBin8.S1	height	0.0224095596445537	0.0172315100046896	0.0281251778973985
UKBB	1KG-EUR	EUR	height_Bin1toBin9.S1	height	0.0257801148952852	0.0194492410629401	0.0317167919373021
UKBB	1KG-EUR	EUR	height_Bin1toBin10.S1	height	0.0290185288395402	0.0230569793439398	0.0354967979037869
UKBB	1KG-EUR	EUR	height_Bin1toBin11.S1	height	0.0285576112081298	0.0225936926078085	0.0350744059533758
UKBB	1KG-EUR	EUR	height_Bin1toBin12.S1	height	0.0318894831517869	0.0255269641072618	0.0394430604607381
UKBB	1KG-EUR	EUR	height_Bin1toBin13.S1	height	0.0350755157226967	0.0285140795103232	0.0421519962319386
UKBB	1KG-EUR	EUR	height_Bin1toBin14.S1	height	0.0362075047504793	0.0290810860633994	0.0433397362736092
UKBB	1KG-EUR	EUR	height_Bin1toBin15.S1	height	0.0362313157973606	0.029245371085229	0.0440676623765535
UKBB	1KG-EUR	EUR	height_Bin1toBin16.S1	height	0.0402635397772222	0.0329891198477979	0.0480236684307509
UKBB	1KG-EUR	EUR	height_Bin1toBin17.S1	height	0.0410415940346262	0.0334490956540333	0.0490601451635174
UKBB	1KG-EUR	EUR	height_Bin1toBin18.S1	height	0.0434845234723484	0.0367344883397894	0.0512137608527423
UKBB	1KG-EUR	EUR	height_Bin1toBin19.S1	height	0.044139370529104	0.0366954485681332	0.0524438541351284
UKBB	1KG-EUR	EUR	height_Bin1toBin20.S1	height	0.0474119769121472	0.0398714175907799	0.0559774919694761
