ldref	pop	addpop	prefix	r2	r2_2.5	r2_97.5	r2_pval	r2_se
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin1.S10	0.000670325714032249	-4.51107626945946e-05	0.00227642037785262	0.00551068780464237	0.000606315070242818
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin1.S2	0.00379889204049788	0.00175702311253872	0.00675404368937539	4.12740798379342e-10	0.00127532784755633
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin1.S3	0.0112358553506686	0.00745736664659683	0.0157975374934098	1.32548665070792e-26	0.00211954552842829
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin1.S4	0.00516807833422806	0.00276253057827674	0.00821225678410186	3.68974623999789e-13	0.00144370592453039
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin1.S5	0.00213267548305129	0.00067784267019374	0.00431637841066391	2.27913171550994e-06	0.000958990115940997
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin1.S6	0.0011303959077571	0.000168168377315475	0.00278997970669979	0.00045115987125733	0.000707479235808557
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin1.S7	0.00068553723499698	-2.017424846813e-05	0.00209662398056203	0.00506548833203256	0.000565436157628111
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin10.S1	0.0259383231606815	0.0202591403034515	0.0320663452486542	2.62506362363743e-59	0.00297710431189868
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin10.S10	0.00795101441574675	0.00498012092935329	0.0119171438110522	2.48765425578881e-19	0.0017789357645671
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin10.S2	0.0241344911268211	0.018666222561865	0.0304393230386599	2.82723476617451e-55	0.00301637864913647
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin10.S3	0.0222191018977744	0.0171804815777011	0.0282670125735337	5.32278465783584e-51	0.00283768458600929
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin10.S4	0.0186335355880916	0.0140107726750071	0.0239492023940562	5.13494533673525e-43	0.00260271869177726
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin10.S5	0.0138976572984189	0.00965197102063531	0.0188414164076831	1.6782374219051e-32	0.00228875373218159
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin10.S6	0.010110485238279	0.00641772780563646	0.0146680207869638	4.11391307097682e-24	0.00205394369702186
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin10.S7	0.0102636171918381	0.00681121037168644	0.0143057900663689	1.88454169669844e-24	0.00198667766973457
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin11.S1	0.0258564768114008	0.0202619022383845	0.0322993223424681	4.00160243550498e-59	0.00308014501824154
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin11.S10	0.00912353758187878	0.00599461374197516	0.0132055705198928	6.30091473794046e-22	0.00181562396664739
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin11.S2	0.0242595613479704	0.0185724315499996	0.0302901372123779	1.48589357108618e-55	0.00290153576261514
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin11.S3	0.0222650308132745	0.0172447862934963	0.0277463570004434	4.20450337502506e-51	0.00279950109048256
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin11.S4	0.0190485341204582	0.0137985739640006	0.0248222822841503	6.13123498714334e-44	0.00275012216284289
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin11.S5	0.016287830917608	0.0115583883153838	0.0217758538615926	8.36333433405694e-38	0.00258652614225669
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin11.S6	0.0119167447994698	0.00786598870509253	0.0162060526390617	4.11497887441261e-28	0.0021313916715068
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin11.S7	0.0106511583858235	0.00704845921322249	0.0152973002553711	2.61288360801855e-25	0.00211061356498054
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin12.S1	0.0250916919082497	0.0198829694393561	0.0308373346752059	2.05332531162433e-57	0.00292732452081865
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin12.S10	0.0104140937417648	0.00660072733295632	0.0143529588942954	8.75043456738022e-25	0.00197857867311812
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin12.S2	0.0237751813302222	0.0183458623115346	0.0297668420693095	1.79390528753416e-54	0.00298364730567063
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin12.S3	0.0220398692790516	0.0172748420610261	0.0277636676768993	1.33598342501005e-50	0.00270719101305224
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin12.S4	0.0198292671389246	0.0150080387803519	0.0254577937735155	1.12293185251756e-45	0.00269268510987784
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin12.S5	0.0163292722027805	0.012026921839926	0.0215481166509477	6.7666747368759e-38	0.00242840482985682
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin12.S6	0.0137368203252697	0.00963379184858859	0.0182459926378052	3.81420137115225e-32	0.00219827457950978
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin12.S7	0.0120973093775302	0.00830263751194814	0.0161951711335539	1.63833900191068e-28	0.00208922775604899
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin13.S1	0.0244089823379876	0.018760337376527	0.030472887567924	6.88939206106497e-56	0.0030046954517818
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin13.S10	0.0110131184977664	0.00750051406562407	0.0152789055687418	4.12687293207503e-26	0.00204166912306018
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin13.S2	0.0248911884453706	0.0192202202037236	0.0310857301157226	5.76285508779004e-57	0.00304040339079254
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin13.S3	0.0215903745936582	0.0164001764570444	0.0270170596766089	1.34229786798575e-49	0.00275952366361261
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin13.S4	0.0204555690229077	0.0151046254178584	0.0260398729537343	4.5292125692907e-47	0.00284330530312114
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin13.S5	0.0158673735586797	0.0114345018575493	0.0209270304034684	7.17299563756115e-37	0.00246538990384866
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin13.S6	0.0138865147400128	0.0097389511497967	0.0186472263132577	1.77646089478024e-32	0.002236899379041
